TXS,,,NGC,,,
m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,m_DM [GeV], g_{SM} g_{Chi} Chi 1 Scattering, g_{SM} g_{Chi} Chi 2 Scattering,
1e-05,2.4682645369065075e-07,2.4682645639672017e-07,1e-05,2.3999603850258817e-07,2.399960411337727e-07,
3.1622776601683795e-05,2.4681171297793816e-06,2.468117128951974e-06,3.1622776601683795e-05,2.399817057088263e-06,2.399817056283752e-06,
0.0001,2.4661642516555422e-05,2.466164182718165e-05,0.0001,2.3979182208557933e-05,2.397918153826116e-05,
0.00031622776601683794,0.00024382693416042476,0.00024382654974856342,0.00031622776601683794,0.00023707952451512232,0.00023707915074106976,
0.001,0.0019615754896499193,0.0019614113628383147,0.001,0.001907292916543601,0.0019071333316044337,
0.0031622776601683794,0.00833877206933724,0.008331919169603243,0.0031622776601683794,0.008108013678003798,0.008101350418195851,
0.01,0.0293654759371156,0.02931187819357121,0.01,0.028552846699663823,0.02850073216359609,
0.03162277660168379,0.11467293453286787,0.1144364576011182,0.03162277660168379,0.11149959657827943,0.11126966365995337,
0.1,0.6369369997034178,0.6314733604318652,0.1,0.6193110763408199,0.6139986320652028,
0.31622776601683794,5.386697321192044,5.0486751568675166,0.31622776601683794,5.237631535713963,4.90896344057684,
1.0,65.33357863936875,41.0582667538832,1.0,63.52560602883115,39.92206354455163,
3.1622776601683795,1330.393410784342,296.6630328844403,3.1622776601683795,1293.5775054255562,288.45349271865973,
10.0,25729.766405494636,1190.8004924715724,10.0,25017.747962521524,1157.8475344392693,
31.622776601683793,424820.62011605396,3893.1731094701663,31.622776601683793,413064.5819262432,3785.4375392382585,
100.0,5674737.423457,12357.450153649757,100.0,5517700.719708758,12015.48309966047,
316.22776601683796,64120264.28804279,39091.12341961055,316.22776601683796,62345867.66034364,38009.35686205031,
1000.0,589929131.6198255,123619.95589854242,1000.0,573604054.4644135,120199.02750253148,
3162.2776601683795,2850667754.9399166,390921.81994018296,3162.2776601683795,2771781379.3577223,380103.86142585374,
10000.0,9303437867.675049,1236204.1377236897,10000.0,9045984331.547163,1201994.7270564025,
31622.776601683792,29547902896.15535,3909221.4097051285,31622.776601683792,28730225367.27003,3801041.7357232845,
100000.0,93560380337.7757,12362044.200581802,100000.0,90971288960.79959,12019950.015778655,
